id,density,hardness,conductivity,cost
M0001,6.869,7.283,18.513,106.22
M0002,14.359,5.825,54.19,98.44
M0003,11.516,3.786,87.295,10.0
M0004,9.783,8.324,73.222,71.54
M0005,4.028,7.163,80.656,79.14
M0006,4.028,2.464,65.878,82.77
M0007,2.755,9.198,69.228,118.13
M0008,13.26,8.403,84.92,109.05
M0009,9.814,9.548,24.967,123.54
M0010,11.205,7.531,48.942,154.15
M0011,2.268,6.521,22.121,163.53
M0012,14.609,4.764,98.767,145.03
M0013,12.822,9.395,94.406,191.33
M0014,4.76,8.795,3.943,8.56
M0015,4.364,1.407,70.558,43.18
M0016,4.384,1.237,92.525,6.47
M0017,5.955,4.388,18.058,131.26
M0018,8.822,8.295,56.795,180.12
M0019,7.615,9.885,91.549,52.48
M0020,5.786,2.354,3.395,185.77
M0021,9.954,6.347,69.742,16.75
M0022,3.813,4.428,29.735,187.22
M0023,5.798,9.729,92.44,73.57
M0024,6.763,8.579,97.106,24.78
M0025,7.929,8.545,94.427,99.74
M0026,12.207,5.218,47.421,55.07
M0027,4.596,4.733,86.204,60.55
M0028,8.685,3.461,84.455,64.92
M0029,9.701,1.507,31.91,161.59
M0030,2.604,8.783,82.892,110.14
M0031,9.898,8.316,3.701,65.71
M0032,4.217,9.997,59.627,124.02
M0033,2.846,9.97,23.001,144.65
M0034,14.336,5.999,12.057,58.16
M0035,14.553,7.921,7.695,85.64
M0036,12.509,9.503,69.629,28.77
M0037,5.96,8.647,33.987,40.32
M0038,3.27,3.226,72.477,137.82
M0039,10.895,5.055,6.536,40.38
M0040,7.722,2.162,31.529,107.41
M0041,3.586,9.586,53.949,143.26
M0042,8.437,6.456,79.072,25.84
M0043,2.447,3.058,31.875,115.63
M0044,13.821,7.045,62.589,55.03
M0045,5.364,6.563,88.598,192.77
M0046,10.613,4.223,61.586,99.29
M0047,6.052,2.022,23.296,162.17
M0048,8.761,7.044,2.44,112.29
M0049,9.107,5.683,87.01,13.47
M0050,4.403,7.951,2.127,128.46
M0051,14.605,5.681,87.47,190.52
M0052,12.077,8.67,52.894,122.31
M0053,14.213,5.967,93.907,164.74
M0054,13.633,6.048,79.878,177.42
M0055,9.773,8.89,99.793,49.48
M0056,13.984,4.631,35.071,46.35
M0057,3.15,2.206,76.719,124.14
M0058,4.548,1.259,40.193,85.15
M0059,2.588,7.796,47.988,168.77
M0060,6.229,6.583,62.751,180.5
M0061,7.053,7.337,87.368,73.92
M0062,5.528,2.917,98.408,51.19
M0063,12.774,2.227,76.827,157.2
M0064,6.638,1.131,41.777,58.59
M0065,5.652,4.155,42.136,165.41
M0066,9.055,6.309,73.758,87.63
M0067,3.832,4.53,23.878,135.17
M0068,12.429,4.937,11.047,23.63
M0069,2.969,9.137,35.462,126.65
M0070,14.83,4.134,28.724,93.09
M0071,12.039,5.626,29.631,119.39
M0072,4.583,8.053,23.361,37.76
M0073,2.072,4.569,4.209,148.69
M0074,12.601,6.599,1.787,173.25
M0075,11.189,8.761,98.772,47.26
M0076,11.477,9.546,42.777,23.66
M0077,12.027,2.324,38.433,9.61
M0078,2.963,9.339,67.965,130.18
M0079,6.66,5.429,21.825,123.38
M0080,3.506,3.324,94.996,111.61
M0081,13.22,5.132,78.635,50.23
M0082,10.103,9.82,8.941,81.23
M0083,6.302,5.434,41.758,120.92
M0084,2.826,3.959,87.912,101.87
M0085,6.043,6.701,94.473,197.62
M0086,6.227,3.161,46.74,31.61
M0087,11.485,1.683,61.341,140.55
M0088,10.288,2.16,16.703,83.84
M0089,13.534,2.152,99.117,88.5
